,Q1,T1,spT1,kc,ki,kd,error,errorI,errorD,Modo,time
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:41.283
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:41.809
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:42.342
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:42.874
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:43.400
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:43.925
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:44.454
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:44.990
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:45.518
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:46.044
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:46.569
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:47.095
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:47.625
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:48.151
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:48.676
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:49.201
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:49.730
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:50.259
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:50.787
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:51.312
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:51.836
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:52.361
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:52.889
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:53.939
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:54.464
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:56.043
1,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16:09:56.567
